datetime,air_temperature,running_status,sonic_status,operation_mode,location_status,location,number_of_rods,sonic_pressure,rotation_pressure,pullup_pressure,pulldown_pressure,inclination_x,inclination_y,flushing_pressure,flushing_debit,depth,depth_raw,sonic_speed,rotation_speed,rotation_speed_duo,rotation_pressure_duo,G_force_z,G_force_x,G_force_y,date_time,sonic_frequency,torque,torque_duo,penetration_speed
35:25.5,18.2,started,started,Dynamic,no fix,"51.985602,6.051186",1,167.45,65.675,28.8,5.4,-0.4,1.5,0.006,0.319,0.65,0.65,8581.04,44.18,0,0,11.2759,6.5755,4.10992,35:25.5,143.01733333333334,1031.0974999999999,0,2.9556650246305445
35:25.8,18.2,started,started,Dynamic,no fix,"51.985602,6.051186",1,169.775,66.175,28.85,5.4,-0.3,1.5,0.019,0.319,0.66,0.66,8547.35,43.81,0,0,11.2759,6.5755,4.10992,35:25.8,142.45583333333335,1038.9475,0,1.9108280254777088
35:26.0,18.2,started,started,Dynamic,no fix,"51.985602,6.051186",1,169.575,66.475,29,5.4,-0.3,-0.6,0.019,0.319,0.67,0.67,8547.35,43.81,0,0,11.2759,6.5755,4.10992,35:26.0,142.45583333333335,1043.6574999999998,0,3.8216560509554176
35:26.2,18.2,started,started,Dynamic,no fix,"51.985602,6.051186",1,168.55,66.65,28.975,5.4,-0.3,-0.6,0.019,0.319,0.68,0.68,8599.09,43.81,0,0,11.2759,6.5755,4.10992,35:26.2,143.31816666666666,1046.405,0,2.5316455696202556
35:26.4,18.2,started,started,Dynamic,no fix,"51.985602,6.051186",1,168.825,67.225,28.95,5.4,-0.3,-0.6,0.019,0.319,0.69,0.69,8599.09,44,0,0,11.2759,6.5755,4.10992,35:26.4,143.31816666666666,1055.4325,0,3.061224489795887
35:26.7,18.2,started,started,Dynamic,no fix,"51.985602,6.051186",1,168.4,68,29.3,5.4,0,-0.4,0.006,0.319,0.7,0.7,8599.09,44,0,0,11.2759,6.5755,4.10992,35:26.7,143.31816666666666,1067.6,0,2.1660649819494604
35:26.9,18.2,started,started,Dynamic,no fix,"51.985602,6.051186",1,167.925,69.1,29.225,5.4,0,-0.4,0.006,0.319,0.71,0.71,8541.05,44.02,0,0,11.2759,6.5755,4.10992,35:26.9,142.35083333333333,1084.87,0,2.7777777777777803
35:27.1,18.2,started,started,Dynamic,no fix,"51.985602,6.051186",1,168.375,70.05,29.625,5.4,0,-0.4,0.006,0.319,0.72,0.72,8541.05,44.02,0,0,11.2759,6.5755,4.10992,35:27.1,142.35083333333333,1099.7849999999999,0,2.643171806167403
35:27.4,18.2,started,started,Dynamic,no fix,"51.985602,6.051186",1,168.225,71.525,30.1,5.4,1.2,-0.4,0.019,0.319,0.73,0.73,8454.17,51.13,0,0,11.2759,6.5755,4.10992,35:27.4,140.90283333333335,1122.9425,0,2.325581395348839
35:27.5,18.2,started,started,Dynamic,no fix,"51.985602,6.051186",1,168.425,72.4,30.4,5.4,1.2,-1.3,0.019,0.3,0.74,0.74,8454.17,51.13,0,0,11.2759,6.5755,4.10992,35:27.5,140.90283333333335,1136.68,0,3.5087719298245643
