datetime,air_temperature,sonic_status,operation_mode,number_of_rods,sonic_pressure,rotation_pressure,pullup_pressure,pulldown_pressure,inclination_x,inclination_y,flushing_pressure,flushing_debit,depth,depth_raw,sonic_speed,rotation_speed,G_force_z,G_force_x,G_force_y,sonic_frequency,torque,penetration_speed,qc,fs
35:25.3,18.2,1,1,1,168.85,65.125,28.925,5.4,-0.4,1.5,0.006,0.319,0.64,0.64,8581.04,44.18,11.2759,6.5755,4.10992,143.01733333333334,1022.4625,2.5423728813559348,3.76,84.76
35:25.5,18.2,1,1,1,167.45,65.675,28.8,5.4,-0.4,1.5,0.006,0.319,0.65,0.65,8581.04,44.18,11.2759,6.5755,4.10992,143.01733333333334,1031.0975,2.9556650246305445,4.0,82.4
35:25.8,18.2,1,1,1,169.775,66.175,28.85,5.4,-0.3,1.5,0.019,0.319,0.66,0.66,8547.35,43.81,11.2759,6.5755,4.10992,142.45583333333337,1038.9475,1.9108280254777088,4.0,78.56
35:26.0,18.2,1,1,1,169.575,66.475,29.0,5.4,-0.3,-0.6,0.019,0.319,0.67,0.67,8547.35,43.81,11.2759,6.5755,4.10992,142.45583333333337,1043.6574999999998,3.8216560509554176,4.02,75.94
35:26.2,18.2,1,1,1,168.55,66.65,28.975,5.4,-0.3,-0.6,0.019,0.319,0.68,0.68,8599.09,43.81,11.2759,6.5755,4.10992,143.31816666666666,1046.405,2.531645569620256,4.05,79.22
35:26.4,18.2,1,1,1,168.825,67.225,28.95,5.4,-0.3,-0.6,0.019,0.319,0.69,0.69,8599.09,44.0,11.2759,6.5755,4.10992,143.31816666666666,1055.4325,3.061224489795887,4.45,83.3
35:26.7,18.2,1,1,1,168.4,68.0,29.3,5.4,0.0,-0.4,0.006,0.319,0.7,0.7,8599.09,44.0,11.2759,6.5755,4.10992,143.31816666666666,1067.6,2.1660649819494604,4.6,82.0
35:26.9,18.2,1,1,1,167.925,69.1,29.225,5.4,0.0,-0.4,0.006,0.319,0.71,0.71,8541.05,44.02,11.2759,6.5755,4.10992,142.35083333333333,1084.87,2.7777777777777803,4.61,85.84
35:27.1,18.2,1,1,1,168.375,70.05,29.625,5.4,0.0,-0.4,0.006,0.319,0.72,0.72,8541.05,44.02,11.2759,6.5755,4.10992,142.35083333333333,1099.785,2.643171806167403,4.51,84.7
35:27.4,18.2,1,1,1,168.225,71.525,30.1,5.4,1.2,-0.4,0.019,0.319,0.73,0.73,8454.17,51.13,11.2759,6.5755,4.10992,140.90283333333335,1122.9425,2.325581395348839,4.26,86.9
35:27.5,18.2,1,1,1,168.425,72.4,30.4,5.4,1.2,-1.3,0.019,0.3,0.74,0.74,8454.17,51.13,11.2759,6.5755,4.10992,140.90283333333335,1136.68,3.5087719298245643,4.13,91.02
35:27.7,18.2,1,1,1,168.675,73.225,30.55,5.4,1.2,-1.3,0.019,0.3,0.75,0.75,8581.01,51.15,11.2759,6.5755,4.10992,143.01683333333332,1149.6325,3.061224489795921,4.24,89.78
35:28.0,18.2,1,1,1,168.25,73.7,30.65,5.425,1.2,-1.3,0.019,0.3,0.76,0.76,8581.01,51.15,11.2578,6.38281,4.10992,143.01683333333332,1157.09,2.1739130434782625,4.2,86.78
35:28.2,18.2,1,1,1,169.2,74.05,30.6,5.4,0.1,-1.3,0.012,0.3,0.77,0.77,8497.12,51.17,11.2578,6.38281,4.10992,141.61866666666668,1162.5849999999998,2.970297029702973,3.89,87.96
35:28.4,18.2,1,1,1,169.275,74.175,30.2,5.4,0.1,1.4,0.012,0.319,0.78,0.78,8497.12,51.17,11.2578,6.38281,4.10992,141.61866666666668,1164.5475,2.9556650246305445,3.9,93.36
35:28.7,18.2,1,1,1,168.7,75.025,29.85,5.4,0.1,1.4,0.012,0.319,0.79,0.79,8526.86,51.17,11.2578,6.38281,4.10992,142.11433333333335,1177.8925,2.2058823529411784,3.97,92.24
35:28.9,18.2,1,1,1,170.2,75.4,30.2,5.4,0.0,1.4,0.012,0.319,0.8,0.8,8526.86,51.4,11.2578,6.38281,4.10992,142.11433333333335,1183.78,3.0150753768844245,3.9,92.5
35:29.1,18.2,1,1,1,170.4,75.475,29.425,5.4,0.0,1.7,0.019,0.319,0.81,0.81,8526.86,51.4,11.2578,6.38281,4.10992,142.11433333333335,1184.9574999999998,2.898550724637684,3.69,95.02
35:29.4,18.2,1,1,1,169.15,75.3,29.85,5.375,0.0,1.7,0.019,0.3,0.82,0.82,8550.72,51.24,11.2578,6.38281,4.10992,142.512,1182.2099999999998,2.150537634,3.51,98.58
35:29.6,18.2,1,1,1,168.525,74.875,30.1,5.375,0.0,1.7,0.019,0.3,0.83,0.83,8550.72,51.24,11.2578,6.38281,4.10992,142.512,1175.5375,3.04568527918782,3.24,96.42
35:29.8,18.2,1,1,1,167.75,74.4,29.85,5.425,-0.5,1.7,0.019,0.3,0.84,0.84,8554.11,51.18,11.2578,6.38281,4.10992,142.5685,1168.08,3.061224489795921,2.89,96.82
35:30.0,18.2,1,1,1,168.175,74.5,29.85,5.4,-0.5,-0.8,0.019,0.319,0.85,0.85,8554.11,51.18,11.2578,6.38281,4.10992,142.5685,1169.65,3.04568527918782,2.49,93.34
35:30.3,18.2,1,1,1,167.425,75.05,29.675,5.4,-0.5,-0.8,0.019,0.319,0.86,0.86,8647.54,44.14,11.2578,6.38281,4.10992,144.1256666666667,1178.285,2.054794520547947,2.23,92.7
35:30.5,18.2,1,1,1,167.675,75.475,28.95,5.35,-0.1,-0.8,0.019,0.319,0.87,0.87,8647.54,44.14,11.2578,6.38281,4.10992,144.1256666666667,1184.9574999999998,3.04568527918782,1.79,93.56
35:30.6,18.2,1,1,1,168.025,75.65,29.1,5.4,-0.1,1.3,0.006,0.319,0.88,0.88,8647.54,44.14,11.2578,6.38281,4.10992,144.1256666666667,1187.705,3.061224489795921,1.65,94.88
35:31.0,18.2,1,1,1,168.375,75.55,28.95,5.375,-0.1,1.3,0.006,0.319,0.89,0.89,8526.6,44.09,11.2578,6.38281,4.10992,142.11,1186.135,1.9047619047619064,1.51,95.94
35:31.1,18.2,1,1,1,168.3,75.9,28.475,5.375,-0.1,1.3,0.006,0.319,0.9,0.9,8526.6,44.09,11.2578,6.38281,4.10992,142.11,1191.63,3.797468354430383,1.53,92.92
35:31.4,18.2,1,1,1,168.55,77.0,28.45,5.375,-0.4,1.3,0.019,0.319,0.91,0.91,8573.94,43.96,11.2578,6.38281,4.10992,142.899,1208.9,2.41935483870968,1.55,86.16
35:31.6,18.2,1,1,1,170.3,77.725,28.65,5.375,-0.4,-0.8,0.019,0.319,0.92,0.92,8573.94,43.96,11.2578,6.38281,4.10992,142.899,1220.2824999999998,2.1978021978022,1.6,80.98
35:31.8,18.2,1,1,1,169.575,78.025,28.075,5.4,-0.4,-0.8,0.019,0.319,0.93,0.93,8619.65,51.41,11.2578,6.38281,4.10992,143.66083333333333,1224.9925,2.926829268292685,1.7,76.72
35:32.1,18.2,1,1,1,168.85,78.45,27.575,5.4,-0.7,-0.8,0.019,0.319,0.94,0.94,8619.65,51.41,11.2578,6.38281,4.10992,143.66083333333333,1231.665,2.5423728813559063,1.77,72.02
35:32.4,18.2,1,1,1,169.775,79.5,27.5,5.375,-0.7,1.0,0.012,0.319,0.95,0.95,8539.63,51.36,11.2578,6.38281,4.10992,142.32716666666664,1248.15,2.027027027027029,1.74,70.4
35:32.6,18.2,1,1,1,170.9,81.525,26.45,5.4,-0.7,1.0,0.012,0.319,0.96,0.96,8539.63,51.36,11.2578,6.38281,4.10992,142.32716666666664,1279.9425,2.739726027397263,1.65,68.32
35:32.8,18.2,1,1,1,171.65,83.9,26.0,5.4,-0.7,1.0,0.012,0.319,0.97,0.97,8572.12,51.45,11.2578,6.38281,4.10992,142.86866666666668,1317.23,2.985074626865674,1.55,66.16
35:33.1,18.2,1,1,1,171.975,87.375,25.425,5.425,0.1,1.7,0.019,4.106,0.98,0.98,8572.12,51.45,11.4243,7.28974,4.10992,142.86866666666668,1371.7875,1.7804154302670638,1.59,56.2
35:33.4,18.2,1,1,1,172.1,88.85,25.275,5.4,0.1,1.7,0.019,4.106,0.99,0.99,8531.58,51.35,11.4243,7.28974,4.10992,142.193,1394.945,2.409638554216869,1.59,56.14
35:33.6,18.2,1,1,1,172.875,88.925,25.425,5.4,0.1,1.7,0.019,4.106,1.0,1.0,8531.58,51.35,11.4243,7.28974,4.10992,142.193,1396.1225,2.5210084033613467,1.54,54.16
35:33.9,18.2,1,1,1,173.475,90.175,24.95,5.4,0.8,1.0,0.012,8.662,1.01,1.01,8509.72,51.41,11.4243,7.28974,4.10992,141.82866666666666,1415.7475,1.9169329073482448,1.49,53.18
35:34.2,18.2,1,1,1,173.15,92.425,24.6,5.4,0.8,1.0,0.012,8.662,1.02,1.02,8509.72,51.41,11.4243,7.28974,4.10992,141.82866666666666,1451.0725,2.531645569620256,1.49,54.54
35:34.4,18.2,1,1,1,172.3,92.05,25.075,5.4,0.8,1.0,0.012,8.662,1.03,1.03,8601.39,51.5,11.4243,7.28974,4.10992,143.35649999999998,1445.185,2.5423728813559348,1.48,53.52
35:34.7,18.2,1,1,1,171.55,91.65,25.375,5.425,0.6,0.5,0.012,8.662,1.04,1.04,8601.39,51.5,11.4243,7.28974,4.10992,143.35649999999998,1438.905,2.4390243902439046,1.45,53.64
35:35.0,18.2,1,1,1,173.575,94.075,24.7,5.4,0.6,0.5,0.012,13.219,1.05,1.05,8562.73,44.07,11.4243,7.28974,4.10992,142.71216666666666,1476.9775,1.685393258426968,1.43,53.74
35:35.2,18.2,1,1,1,174.65,95.425,24.375,5.4,0.6,0.5,0.012,13.219,1.06,1.06,8572.35,44.06,11.4243,7.28974,4.10992,142.8725,1498.1725,3.04568527918782,1.37,53.46
35:35.5,18.2,1,1,1,173.475,95.25,25.6,5.425,1.9,-0.1,0.019,13.219,1.07,1.07,8572.35,44.06,11.4243,7.28974,4.10992,142.8725,1495.425,2.469135802469138,1.29,53.44
35:35.7,18.2,1,1,1,172.5,93.925,26.35,5.45,1.9,-0.1,0.019,7.8,1.08,1.08,8485.85,43.97,11.4243,7.28974,4.10992,141.43083333333334,1474.6225,2.027027027027029,1.8,55.68
35:36.0,18.2,1,1,1,171.575,92.325,26.2,5.4,1.9,-0.1,0.019,7.8,1.09,1.09,8485.85,43.97,11.4243,7.28974,4.10992,141.43083333333334,1449.5025,2.4390243902439046,1.95,51.68
35:36.2,18.2,1,1,1,171.4,91.35,25.875,5.4,1.1,-0.1,0.006,7.8,1.1,1.1,8586.74,43.98,11.4243,7.28974,4.10992,143.11233333333334,1434.195,2.5751072961373414,1.92,50.2
35:36.5,18.2,1,1,1,172.05,92.175,26.85,5.375,1.1,1.5,0.006,26.644,1.11,1.11,8586.74,43.98,11.4243,7.28974,4.10992,143.11233333333334,1447.1474999999998,2.1739130434782625,1.82,48.14
35:36.7,18.2,1,1,1,172.125,94.0,26.325,5.4,1.1,1.5,0.006,26.644,1.12,1.12,8601.63,43.95,11.4243,7.28974,4.10992,143.36049999999997,1475.8,2.5210084033613467,1.77,46.66
35:36.9,18.2,1,1,1,171.925,93.65,26.5,5.425,1.1,1.5,0.019,26.644,1.13,1.13,8601.63,43.95,11.4243,7.28974,4.10992,143.36049999999997,1470.305,2.9556650246304788,1.65,41.76
35:37.2,18.2,1,1,1,171.3,93.925,26.35,5.425,1.1,1.8,0.019,40.313,1.14,1.14,8553.7,43.98,11.4243,7.28974,4.10992,142.56166666666667,1474.6225,2.1818181818181834,1.57,39.82
35:37.5,18.2,1,1,1,171.3,94.325,26.35,5.4,1.1,1.8,0.019,40.313,1.15,1.15,8553.7,43.98,11.4243,7.28974,4.10992,142.56166666666667,1480.9025,2.2304832713754665,1.52,39.22
35:37.7,18.2,1,1,1,171.275,94.875,26.575,5.4,-0.5,1.8,0.019,40.313,1.16,1.16,8514.13,43.98,11.4243,7.28974,4.10992,141.90216666666666,1489.5375,2.9556650246305445,1.34,37.96
35:38.0,18.2,1,1,1,172.4,95.575,27.025,5.425,-0.5,1.8,0.012,37.05,1.17,1.17,8514.13,51.3,11.3944,7.26044,4.10992,141.90216666666666,1500.5275,1.9480519480519496,1.24,39.34
35:38.2,18.2,1,1,1,171.3,95.45,27.275,5.4,-0.5,1.8,0.012,37.05,1.18,1.18,8532.51,51.3,11.3944,7.26044,4.10992,142.20850000000002,1498.565,3.0150753768844245,1.23,37.62
35:38.4,18.2,1,1,1,170.425,93.9,27.85,5.425,-0.5,1.8,0.012,37.05,1.19,1.19,8532.51,51.36,11.3944,7.26044,4.10992,142.20850000000002,1474.23,2.510460251046028,1.24,38.82
35:38.6,18.2,1,1,1,169.725,93.1,27.875,5.4,0.9,1.8,0.019,37.05,1.2,1.2,8532.51,51.36,11.3944,7.26044,4.10992,142.20850000000002,1461.6699999999998,3.07692307692308,1.0,41.52
