datetime,air_temperature,sonic_status,operation_mode,number_of_rods,sonic_pressure,rotation_pressure,pullup_pressure,pulldown_pressure,inclination_x,inclination_y,flushing_pressure,flushing_debit,depth,depth_raw,sonic_speed,rotation_speed,G_force_z,G_force_x,G_force_y,sonic_frequency,torque,penetration_speed,qc,fs,fs_sqrt,air_temperature_outlier,number_of_rods_outlier,sonic_pressure_outlier,rotation_pressure_outlier,pullup_pressure_outlier,pulldown_pressure_outlier,inclination_x_outlier,inclination_y_outlier,flushing_pressure_outlier,flushing_debit_outlier,depth_raw_outlier,sonic_speed_outlier,rotation_speed_outlier,G_force_z_outlier,G_force_x_outlier,G_force_y_outlier,sonic_frequency_outlier,torque_outlier,penetration_speed_outlier,qc_outlier,fs_outlier,fs_sqrt_outlier,pull_diff,torque_per_rotation,g_total,energy_input,mechanical_stress,torque_to_penetration
35:21.5,18.1,1,1,1,170.8,62.1,30.5,5.325,0.5,-1.5,0.012,0.319,0.48,0.48,8550.95,44.02,8.01082,5.12552,4.10992,142.51583333333335,974.97,3.797468354430383,2.28,86.76,9.314504817756015,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,25.175,22.14834115973782,10.36029124828062,1460502.2600000002,60545.637,256.74203239126456
35:21.7,18.1,1,1,1,171.2,64.475,29.075,5.35,0.8,-1.5,0.012,0.319,0.49,0.49,8549.19,44.02,8.01082,5.12552,4.10992,142.4865,1012.2574999999998,2.469135802469138,2.28,85.48,9.245539465060975,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,23.725,22.995399295879157,10.36029124828062,1463621.328,65265.30231249998,409.96412146453036
35:22.0,18.2,1,1,1,171.425,64.475,28.95,5.35,0.8,-1.4,0.012,0.3,0.5,0.5,8549.19,44.02,8.01082,5.12552,4.10992,142.4865,1012.2574999999998,2.142857142857145,2.44,86.92,9.323089616645332,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,23.6,22.995399295879157,10.36029124828062,1465544.8957500001,65265.30231249998,472.3866128862467
35:22.3,18.1,1,1,1,172.45,66.45,26.975,5.35,0.8,-1.4,0.012,0.3,0.51,0.51,8534.71,51.04,8.01082,5.12552,4.10992,142.24516666666665,1043.265,1.880877743,2.51,87.92,9.376566535784834,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,21.625,20.44014458385297,10.36029124828062,1471810.7394999997,69324.95925000001,554.6689300853033
35:22.4,18.1,1,1,1,171.925,67.475,27.15,5.325,0.8,-1.4,0.012,0.3,0.52,0.52,8534.71,51.04,8.01082,5.12552,4.10992,142.24516666666665,1059.3574999999998,4.800000000000004,2.58,89.16,9.4424573072903,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,21.825,20.7554365055753,10.36029124828062,1467330.01675,71480.14731249999,220.69943318761784
35:22.7,18.1,1,1,1,170.9,67.05,27.6,5.375,0.7,0.2,0.006,0.3,0.53,0.53,8534.71,51.04,8.01082,5.12552,4.10992,142.24516666666665,1052.685,2.459016393442625,2.62,90.76,9.526804291051644,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,22.225,20.624705708763603,10.36029124828062,1458581.939,70582.52924999999,428.0917259093644
35:23.0,18.1,1,1,1,172.975,68.95,26.675,5.4,0.7,0.2,0.006,0.319,0.54,0.54,8569.16,51.32,11.2759,6.5755,4.10992,142.81933333333333,1082.515,2.083333333333336,2.54,93.46,9.667471230885562,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,21.275,21.09343294829632,13.684829683499903,1482250.451,74639.40925000001,519.606950588663
35:23.2,18.1,1,1,1,172.1,68.675,27.125,5.4,0.7,0.2,0.006,0.319,0.55,0.55,8569.16,51.32,11.2759,6.5755,4.10992,142.81933333333333,1078.1975,3.0150753768844245,2.45,94.64,9.728309205612248,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,21.725,21.009303955391584,13.684829683499903,1474752.436,74045.2133125,357.6020522286524
35:23.4,18.1,1,1,1,170.8,68.25,27.15,5.4,0.0,0.2,0.006,0.319,0.56,0.56,8518.01,51.18,11.2759,6.5755,4.10992,141.96683333333334,1071.525,2.843601896,2.26,91.78,9.58018788959799,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,21.75,20.93640052879249,13.684829683499903,1454876.1080000002,73131.58125,376.81949244997537
35:23.7,18.1,1,1,1,171.55,68.95,27.45,5.4,0.0,0.4,0.006,0.319,0.57,0.57,8518.01,51.18,11.2759,6.5755,4.10992,141.96683333333334,1082.515,2.1739130434782385,2.2,90.32,9.503683496413377,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,22.049999999999997,21.15113284190831,13.684829683499903,1461264.6155,74639.40925000001,497.9566709399365
